case_id,target
620444.0,0
864192.0,0
852443.0,0
1729870.0,0
1462058.0,1
605880.0,1
888709.0,0
1337474.0,0
26163.0,0
749325.0,0
767875.0,0
184581.0,0
992787.0,1
1945616.0,0
1780251.0,0
1488480.0,0
1799467.0,1
161357.0,0
996200.0,0
636190.0,1
806658.0,0
1604716.0,1
2581220.0,0
1019622.0,1
2560535.0,0
1551011.0,1
2643093.0,0
845672.0,1
948330.0,0
930527.0,0
1574984.0,1
235254.0,0
1371929.0,0
1455325.0,0
2637136.0,1
2628232.0,0
140881.0,1
49384.0,1
1350504.0,1
1749600.0,0
2563847.0,0
2627678.0,0
1895667.0,1
1460792.0,0
768728.0,0
1661587.0,0
731582.0,0
1279451.0,0
1536984.0,1
1786467.0,0
1709659.0,1
217029.0,1
1483175.0,0
964217.0,0
1314595.0,0
1299305.0,0
958505.0,0
987940.0,1
1273023.0,0
1649102.0,0
1798825.0,0
1655062.0,0
668911.0,0
1849584.0,1
1451768.0,0
177892.0,0
1767597.0,1
689615.0,0
1594724.0,1
1399647.0,1
1251721.0,0
204741.0,1
1736897.0,1
2650966.0,0
2555089.0,0
1612619.0,1
1816280.0,1
998297.0,0
1583719.0,0
650853.0,0
1588485.0,0
2651479.0,0
2628327.0,1
1649341.0,1
1662551.0,1
1263958.0,0
2658536.0,1
992032.0,0
1877495.0,1
825829.0,0
1438638.0,0
1559592.0,1
832306.0,0
1667131.0,1
787840.0,0
1716741.0,0
2682202.0,0
679888.0,1
1813158.0,0
1803385.0,1
627131.0,0
848590.0,0
835374.0,0
1704716.0,0
1416284.0,0
614583.0,0
870575.0,0
1294801.0,0
21945.0,0
737289.0,0
753636.0,0
191057.0,0
977559.0,1
1930365.0,0
1771271.0,0
1439781.0,0
1802622.0,0
160090.0,0
981618.0,0
640524.0,0
788023.0,0
1569397.0,0
2540110.0,0
1500988.0,0
2624735.0,0
826630.0,0
925323.0,0
904606.0,0
1532251.0,0
251743.0,0
1330520.0,0
1407771.0,0
2616456.0,0
2602730.0,0
138585.0,0
49752.0,0
1727617.0,0
2601447.0,0
1899759.0,0
1412776.0,0
752088.0,0
1632446.0,0
721219.0,0
1481916.0,0
1780121.0,0
1546350.0,0
1433671.0,0
945551.0,0
1262408.0,0
936205.0,0
971045.0,0
683590.0,0
1619760.0,0
1800061.0,0
665196.0,0
1863787.0,0
966355.0,0
1403083.0,0
175751.0,1
1752145.0,1
685577.0,0
1556103.0,0
1356772.0,0
1013608.0,0
1710500.0,0
2636445.0,0
2534484.0,0
1575827.0,0
1829513.0,0
980530.0,0
1541170.0,0
649476.0,1
